id,title,grade,subject,volume,collection_or_program,publisher_or_imprint,publication_year_or_era,date_confidence,local_file,image_url,page_url,source_name,source_caption_or_note,rights_note
1980-hoc-van-lop-1,Học vần,1,Tiếng Việt / Học vần,unknown,pre-1981 reform / old Vietnamese primary textbook,unknown,1980,caption-confirmed,images/1980-hoc-van-lop-1-danviet.jpeg,https://danviet.ex-cdn.com/files/f1/296231569849192448/2022/9/29/sach-giao-khoa-lop-126-1664444922304704123675-16644513500231951058344.jpeg,https://danviet.vn/ngam-ngui-xem-lai-nhung-cuon-sach-giao-khoa-tieng-viet-lop-1-cu-ca-bau-troi-tuoi-tho-20220929181451372-d1046635.html,Dân Việt,Caption says: Sách Học vần xuất bản năm 1980. Ảnh: Tào Nga,Use as research reference; clear reuse rights not established.
1990-tieng-viet-1-tap-1,Tiếng Việt 1,1,Tiếng Việt,Tập 1,post-1979 reform / pre-2002 common textbook,NXB Giáo dục,1990,caption-confirmed,images/1990-tieng-viet-1-tap-1-danviet.jpg,https://danviet.ex-cdn.com/files/f1/296231569849192448/2022/9/29/1-16021454920121774915538-1664452358474-16644523585641540495388.jpg,https://danviet.vn/ngam-ngui-xem-lai-nhung-cuon-sach-giao-khoa-tieng-viet-lop-1-cu-ca-bau-troi-tuoi-tho-20220929181451372-d1046635.html,Dân Việt,"Article says: Sách Tiếng Việt lớp 1, tập 1, NXB Giáo dục ấn hành năm 1990. Ảnh: MXH",Use as research reference; clear reuse rights not established.
pre-2020-toan-1,Toán 1,1,Toán,single volume,pre-2020 common textbook / 2002 curriculum era,NXB Giáo dục Việt Nam,2002-2019,inferred-era,images/pre-2020-toan-1-sachhoc.jpg,https://sachhoc.com/image/cache/catalog/LuyenThi/Lop1-5/Sach-giao-khoa-toan-1-500x554.jpg,https://sachhoc.com/sach-giao-khoa-toan-lop-1,SachHoc,Product page title: Sách giáo khoa toán lớp 1,Use as research reference; clear reuse rights not established.
pre-2020-tieng-viet-1,Tiếng Việt 1,1,Tiếng Việt,Tập 1 / Tập 2 listed together,pre-2020 common textbook / 2002 curriculum era,NXB Giáo dục Việt Nam,2002-2019,inferred-era,images/pre-2020-tieng-viet-1-sachhoc.jpg,https://sachhoc.com/image/cache/catalog/LuyenThi/Lop1-5/Tieng-viet-1-tap-1-202x224.jpg,https://sachhoc.com/sach-giao-khoa-toan-lop-1,SachHoc,Related item alt text: Tiếng việt 1 tập 1 tập 2 (trọn bộ),Use as research reference; clear reuse rights not established.
2014-tieng-viet-cong-nghe-giao-duc-1-tap-1,Tiếng Việt Công nghệ giáo dục lớp 1,1,Tiếng Việt,Tập 1,Công nghệ giáo dục,NXB Giáo dục Việt Nam,2014-2015,article-context,images/2014-tieng-viet-cong-nghe-giao-duc-1-tap-1-sachhoc.jpg,https://sachhoc.com/image/cache/catalog/LuyenThi/Lop1-5/Tieng-viet-cong-nghe-giao-duc-lop-1-tap-1-202x224.jpg,https://metaisach.com/tieng-viet-cong-nghe-giao-duc-lop-1-tap-1,Mê Tải Sách / SachHoc,Mê Tải Sách notes the 2014-2015 school year adoption context; image downloaded from SachHoc related item.,Use as research reference; clear reuse rights not established.
2020-canh-dieu-toan-1,Toán 1,1,Toán,single volume,Cánh Diều,unknown,2020-present,curriculum-era,images/2020-canh-dieu-toan-1-sachhoc.jpg,https://sachhoc.com/image/cache/catalog/LuyenThi/Lop1-5/Sach-giao-khoa-toan-1-canh-dieu-202x224.jpg,https://sachhoc.com/sach-giao-khoa-toan-lop-1,SachHoc,Related item alt text: Sách giáo khoa toán 1 (Cánh diều),Use as research reference; clear reuse rights not established.
2020-canh-dieu-tieng-viet-1,Tiếng Việt 1,1,Tiếng Việt,Tập 1 / Tập 2 listed together,Cánh Diều,unknown,2020-present,curriculum-era,images/2020-canh-dieu-tieng-viet-1-sachhoc.jpg,https://sachhoc.com/image/cache/catalog/LuyenThi/Lop1-5/Tieng-viet-1-tap-1-canh-dieu-202x224.jpg,https://sachhoc.com/sach-giao-khoa-toan-lop-1,SachHoc,"Related item alt text: Tiếng việt lớp 1 tập 1,2 (cánh diều)",Use as research reference; clear reuse rights not established.
2020-ket-noi-toan-1,Toán 1,1,Toán,Tập 1 / Tập 2 listed together,Kết nối tri thức với cuộc sống,NXB Giáo dục Việt Nam,2020-present,curriculum-era,images/2020-ket-noi-toan-1-sachhoc.jpg,https://sachhoc.com/image/cache/catalog/LuyenThi/Lop1-5/Sach-giao-khoa-toan-lop-1-tap-1-tap-2-ket-noi-tri-thuc-voi-cuoc-song-202x224.jpg,https://sachhoc.com/sach-giao-khoa-toan-lop-1,SachHoc,"Related item alt text: Sách giáo khoa toán lớp 1 tập 1,2 (Kết nối tri thức với cuộc sống)",Use as research reference; clear reuse rights not established.
2020-ket-noi-tieng-viet-1,Tiếng Việt 1,1,Tiếng Việt,Tập 1 / Tập 2 listed together,Kết nối tri thức với cuộc sống,NXB Giáo dục Việt Nam,2020-present,curriculum-era,images/2020-ket-noi-tieng-viet-1-sachhoc.jpg,https://sachhoc.com/image/cache/catalog/LuyenThi/Lop1-5/Sach-giao-khoa-tieng-viet-1-tap-1-ket-noi-tri-thuc-voi-cuoc-song-202x224.jpg,https://sachhoc.com/sach-giao-khoa-toan-lop-1,SachHoc,"Related item alt text: Sách giáo khoa Tiếng việt 1 tập 1,2 (Kết nối tri thức với cuộc sống)",Use as research reference; clear reuse rights not established.
2020-chan-troi-toan-1,Toán 1,1,Toán,single volume,Chân trời sáng tạo,NXB Giáo dục Việt Nam,2020-present,curriculum-era,images/2020-chan-troi-toan-1-sachhoc.jpg,https://sachhoc.com/image/cache/catalog/LuyenThi/Lop1-5/Sach-giao-khoa-toan-1-chan-troi-sang-tao-202x224.jpg,https://sachhoc.com/sach-giao-khoa-toan-lop-1,SachHoc,Related item alt text: Sách giáo khoa toán 1 (Chân trời sáng tạo),Use as research reference; clear reuse rights not established.
2020-chan-troi-tieng-viet-1,Tiếng Việt 1,1,Tiếng Việt,Tập 1 / Tập 2 listed together,Chân trời sáng tạo,NXB Giáo dục Việt Nam,2020-present,curriculum-era,images/2020-chan-troi-tieng-viet-1-sachhoc.jpg,https://sachhoc.com/image/cache/catalog/LuyenThi/Lop1-5/Sach-giao-khoa-tieng-viet-1-tap-1-chan-troi-sang-tao-202x224.jpg,https://sachhoc.com/sach-giao-khoa-toan-lop-1,SachHoc,"Related item alt text: Sách giáo khoa Tiếng việt 1 tập 1,2 (Chân trời sáng tạo)",Use as research reference; clear reuse rights not established.
2020-cung-hoc-toan-1,"Toán 1, tập một",1,Toán,tập một,2018 GDPT / 2020 Grade 1 curriculum,Cùng học để phát triển năng lực,2020-2021 school year,source-page-era,images/2020-cung-hoc-toan-1-tap-1-sobee.jpg,https://sobee.vn/site/wp-content/uploads/2020/06/Bia-Toan-1-SHS-Tap-1-scaled.jpg,https://sobee.vn/san-pham/toan-1-tap-1-sgk-cung-hoc-de-phat-trien-nang-luc/,Sobee,Product page identifies Toán 1 tập 1 SGK Cùng học để phát triển năng lực; page states Nhà xuất bản Giáo dục Việt Nam and use from school year 2020-2021; cover image text confirms tập một.,Use as research reference; clear reuse rights not established.
2020-cung-hoc-toan-1-tap-2-sobee,"Toán 1, tập hai",1,Toán,tập hai,2018 GDPT / 2020 Grade 1 curriculum,Cùng học để phát triển năng lực,2020-2021 school year,source-page-era,images/2020-cung-hoc-toan-1-tap-2-sobee.jpg,https://sobee.vn/site/wp-content/uploads/2020/06/Bia-Toan-1-SHS-Tap-2-scaled.jpg,https://sobee.vn/san-pham/toan-1-tap-2-sgk-cung-hoc-de-phat-trien-nang-luc/,Sobee,Product page identifies Toán 1 tập 2 SGK Cùng học để phát triển năng lực; page states Nhà xuất bản Giáo dục Việt Nam and use from school year 2020-2021; cover image text confirms tập hai.,Use as research reference; clear reuse rights not established.
2020-cung-hoc-tieng-viet-1,"Tiếng Việt 1, tập một",1,Tiếng Việt,tập một,2018 GDPT / 2020 Grade 1 curriculum,Cùng học để phát triển năng lực,2020-2021 school year,source-page-era,images/2020-cung-hoc-tieng-viet-1-tap-1-sobee.jpg,https://sobee.vn/site/wp-content/uploads/2020/06/Bia-Tieng-Viet-1-Tap-1-SHS-scaled.jpg,https://sobee.vn/san-pham/tieng-viet-1-tap-1-sgk-cung-hoc-de-phat-trien-nang-luc/,Sobee,Product page identifies Tiếng Việt 1 tập 1 SGK Cùng học để phát triển năng lực; page states Nhà xuất bản Giáo dục Việt Nam and use from school year 2020-2021; product image is the cover.,Use as research reference; clear reuse rights not established.
2020-cung-hoc-tieng-viet-1-tap-2-sobee,"Tiếng Việt 1, tập hai",1,Tiếng Việt,tập hai,2018 GDPT / 2020 Grade 1 curriculum,Cùng học để phát triển năng lực,2020-2021 school year,source-page-era,images/2020-cung-hoc-tieng-viet-1-tap-2-sobee.jpg,https://sobee.vn/site/wp-content/uploads/2020/06/Bia-Tieng-Viet-1-Tap-2-SHS-scaled.jpg,https://sobee.vn/san-pham/tieng-viet-1-tap-2-sgk-cung-hoc-de-phat-trien-nang-luc/,Sobee,Product page identifies Tiếng Việt 1 tập 2 SGK Cùng học để phát triển năng lực; page states Nhà xuất bản Giáo dục Việt Nam and use from school year 2020-2021; product image is the cover.,Use as research reference; clear reuse rights not established.
